"","Tweets","Language","Follower","favourites_count","friends_count","statuses_count","time_zone","id_str","location","coordinates","retweet_count","id_str_tweet","in_reply_to_status_id_str","Weekday","Month","DayOfMonth","Hour","Min","Sec","Timezone","Year"
"96","NEW stunning Club,  http://t.co/OFD9Xtn0 @Caitlincquinn @cupidooe6 @JohnCollison @jtecbeats","en","0","0","0","8",NA,"456929322",NA,NA,"0","155401282671222784",NA,"Fri","Jan","06","21","32","07","+0000","2012"
"97","@elifaltnsk beni buna mecbur ettiler cok eglendim :D","en","155","4","128","4057","Quito","188021512","istanbul",NA,"0","155402230579736578","155401827209322496","Fri","Jan","06","21","35","53","+0000","2012"
"98","candacecbure-Candace my best friends now a retired minister/wife had Corrie Ten Boom as a guest in t","en","1","0","15","308","Alaska","397949452","",NA,"0","155403153330814976",NA,"Fri","Jan","06","21","39","33","+0000","2012"
"99","Novel Hepatitis C Vaccine Shows Some Early Promise http://t.co/ecbMeTt5","en","58","0","124","159",NA,"358764087","",NA,"0","155406550725427200",NA,"Fri","Jan","06","21","53","03","+0000","2012"
"100","ECB Deposits Surge Past Record: Banks' overnight deposits with the European Central Bank surged 63%, shatt... http://t.co/EV9JSAXa Best.","en","532","551","19","110481","Pacific Time (US & Canada)","48275758","RE/MAX International, Inc.",NA,"0","175515092677427200",NA,"Fri","Mar","02","09","37","13","+0000","2012"
"101","RT @ReutersJamie: wow: banks deposit €777 billion - over three quarters of a trillion euros - at the ecb overnight #checkbackofsofa","en","1841","0","1369","1742","London","305011715","Wales",NA,"0","175517181445029888",NA,"Fri","Mar","02","09","45","31","+0000","2012"
"102","#alecburks for the 3!","en","100","36","115","1112",NA,"287529116","",NA,"0","175776544617275392",NA,"Sat","Mar","03","02","56","08","+0000","2012"
"103","@adstockstill @awcountryman @ctysonnettles @countryman_john @gorecb @wardgibson wildcats turned their endowment into confederate war bonds","en","23","0","28","165",NA,"299646595","Columbia, SC",NA,"0","175778444632797184","175768063575207936","Sat","Mar","03","03","03","41","+0000","2012"
"104","“@LadyLucyLongfur: @alecbaldwin Have there been any significant changes in Family Law since u wrote ur book?”
No, actually. Not significant","en","753705","8","193","5635","Quito","288452305","feet on the ground",NA,"0","175915510293200897",NA,"Sat","Mar","03","12","08","20","+0000","2012"
"105","RT @alecbaldwin: My itinerary said flight from DFW to LAX was on Alaska Air. Turned out to be American.

#someonesgonnagetfired","en","828","291","520","1379","Quito","16360236","Photo by Ari Scott",NA,"97","176039061880979457",NA,"Sat","Mar","03","20","19","17","+0000","2012"
"106","@alecbaldwin yes, because I'm sure I you NEVER make mistakes","en","206","16","326","4869","Mountain Time (US & Canada)","755066","Edmonton, AB",NA,"0","176040924160344064","176032335639220224","Sat","Mar","03","20","26","41","+0000","2012"
